"Lon"	"Lat"	"Site"	"Detected"	"Bathy"	"gBathy"	"Iso200"	"Beaufort"	"Subj"	"Effort_km"	"Year"
-3.7	45.7	311	0	-1598.55172413793	7.25080231962533	10246.8969106041	3	1	19.4571670729279	2012
-3.7	45.9	312	0	-248.752293577982	2.90381900988382	3782.13927933705	4	1	17.5317670803184	2012
-3.7	46.1	313	0	-131.151260504202	0.994969875371757	2654.94369946545	4	0	17.4877975952771	2012
-3.7	46.3	314	0	-136.491525423729	0.844319732922871	4295.23817840996	4	0	18.4615610844267	2012
-3.7	46.5	315	0	-128.189873417722	0.0782073795371041	9126.93511796529	3	1	3.6704631170176	2012
-3.7	46.7	316	0	-122.935483870968	0.131381814307984	10830.160822493	4	1	5.76506387523606	2012
-3.7	46.9	317	0	-110.860294117647	0.171186783227741	16897.1849007516	3	1	11.0865237320907	2012
-3.7	47.1	318	0	-100.189189189189	0.138266639884662	28133.8407216101	3	1	2.73635313401099	2012
-3.7	47.3	319	0	-102.261904761905	0.107197084996317	47894.112014406	3	0	41.1925018545762	2012
-3.7	47.5	320	1	-79.0422535211268	0.0888870983764949	71745.577084299	4	0	32.982799639485	2012
-3.7	47.7	321	0	-40.9035087719298	0.196172036769751	93564.9626173323	3.5	0	31.9316258590031	2012
-3.5	43.7	328	0	-2061.75	7.74204911788304	12496.8376235845	4	0	9.08167774789941	2012
-3.5	45.3	336	0	-3170.16666666667	5.79006258646647	23975.3417604427	4	1	12.6418640786951	2012
-3.5	45.5	337	0	-1480.62921348315	9.01837320006296	7643.67864434673	3	1	18.4512002475551	2012
-3.5	45.7	338	0	-236.046357615894	2.41206124054872	3803.11710167723	3	0	18.9888755853405	2012
-3.5	45.9	339	0	-184.121739130435	0.645407523150029	3258.9101119469	3	1	8.13093168358599	2012
-3.5	46.1	340	0	-23.4098360655738	0.176940880837988	10094.1118538146	4	0	9.88955976534844	2012
-3.5	46.3	341	0	-58.4117647058824	0.232283400327844	11749.4796014576	4	0	12.1876655226589	2012
-3.5	46.5	342	0	-171.855670103093	0.552169780410135	3658.34363009154	4	0	12.4568266644635	2012
-3.5	46.7	343	0	-149.697674418605	0.490646495765378	22155.2720784282	3	1	17.361766260465	2012
-3.5	46.9	344	0	-96.1176470588235	0.264021477654201	30332.9979370978	3	1	27.1965138102065	2012
-3.5	47.1	345	0	-95.1818181818182	0.257693674063662	40970.2061617223	3	1	40.3235667170624	2012
-3.5	47.3	346	0	-80.025641025641	0.108383311834345	62528.6587754821	3	0	24.9178005964124	2012
-3.5	47.5	347	0	-57.5681818181818	0.22164248035882	80559.8949580155	4	0	28.5524506061991	2012
-3.5	47.7	348	0	-32.1458333333333	0.372602849577864	93029.7041053771	4	0	9.94695415332563	2012
-3.3	43.7	355	0	-1458.96	8.06472469329834	10493.0913809782	4	0	15.9868976729542	2012
-3.3	45.1	362	0	-1352.0350877193	4.39315473824217	18944.9041832538	4	1	1.78085066093521	2012
-3.3	45.3	363	0	-1068.92810457516	6.90874773380803	9336.82169647144	3	1	13.3550372574458	2012
-3.3	45.5	364	0	-321.097087378641	3.91604673522479	3530.23750980825	3	1	19.7707112813191	2012
-3.3	45.7	365	0	-132.887096774194	0.17706300846992	10129.1023135155	3	0	9.79162022596863	2012
-3.3	45.9	366	0	-122.609375	0.362786873592995	13651.3317936536	4	0	11.0447631587009	2012
-3.3	46.3	368	0	-106.981981981982	0.438474144383862	12942.9198551793	5	0	24.4247978402817	2012
-3.3	46.5	369	0	-134.911290322581	0.392211196583606	8280.01208311145	3.5	1	24.5280548138998	2012
-3.3	46.7	370	0	-120.314516129032	0.250301569700241	30129.4577665912	4	1	17.2307012079073	2012
-3.3	46.9	371	0	-99.7837837837838	0.173515848882563	45173.6702004183	3	1	28.8405334594227	2012
-3.3	47.1	372	0	-78.1896551724138	0.155796890339718	56444.4956730592	3	1	18.8597522467956	2012
-3.3	47.3	373	0	-62.0746268656716	0.201059005237115	65801.0164598466	3	1	27.4053021810615	2012
-3.3	47.5	374	0	-31.5053191489362	0.173154027211143	84713.4976448519	4	0	32.3805635927123	2012
-3.3	47.7	375	0	-14.2222222222222	0.165029775144326	98348.4891415711	3	0.5	7.64584051273389	2012
-3.1	43.7	382	0	-1066.89285714286	8.06935543673379	7558.45510832771	5	-0.5	15.830661472456	2012
-3.1	43.9	383	0	-2064	1.69863610797458	31376.502429528	3	1	16.0823966465549	2012
-3.1	44.1	384	1	-1814.47619047619	1.94977797213055	55963.0101821835	5	1	23.9144164829856	2012
-3.1	44.3	385	1	-1847.41176470588	2.55531818025252	74765.9108236152	5	0	20.8480517310039	2012
-3.1	44.5	386	1	-1658.2380952381	2.24704191372508	71522.1945755225	5	0	14.2190541136361	2012
-3.1	44.9	388	0	-2971.27906976744	4.12413814455964	26469.0373541052	4	1	1.0838791070873	2012
-3.1	45.1	389	0	-1159.36363636364	5.27322567159479	12086.833403393	4	1	33.2271563498114	2012
-3.1	45.3	390	0	-252.481203007519	2.00739870394083	2893.42083390382	3	1	12.1344154976068	2012
-3.1	45.5	391	0	-146.186813186813	0.369430522792615	9474.32742940513	3	1	11.2316265948769	2012
-3.1	45.7	392	0	-82.04	0.839314289331436	18044.3067560024	3	1	33.796596560169	2012
-3.1	45.9	393	0	-115.884955752212	0.476258942247492	22402.0136950945	4	0	39.6068080218446	2012
-3.1	46.1	394	0	-130.107438016529	0.172816642598549	25265.1637167612	4	0	22.1491143463754	2012
-3.1	46.3	395	0	-109.520547945205	0.173048869974605	23605.6186380057	4	0	44.7919300407682	2012
-3.1	46.5	396	0	-106.272	0.163833798959851	23041.4193268021	4	0	35.1618737807129	2012
-3.1	46.7	397	0	-95.0131578947368	0.275264542745916	36359.7300416418	4	0	33.1045783288953	2012
-3.1	46.9	398	0	-64.2112676056338	0.192530313532957	47231.9558477367	4	0	24.0907942677942	2012
-3.1	47.1	399	1	-67.5677966101695	0.283412511192136	65021.4560028951	3	0	18.1296928794716	2012
-3.1	47.3	400	0	-33.2890173410405	0.27494437180761	77799.1014065628	3	1	54.027295518235	2012
-3.1	47.5	401	0	-24.3	0.123233879978458	87487.7506715499	3	0	9.3514235847779	2012
-2.9	43.7	409	0	-1342.77777777778	6.3181030816502	10500.9449227992	5	0	15.8314391220179	2012
-2.9	43.9	410	0	-1752.875	2.53138570487499	32023.2249346543	3	1	15.4647970294857	2012
-2.9	44.1	411	0	-1399.20833333333	1.13020453602076	54086.9723720386	5	0	14.7403935763694	2012
-2.9	44.3	412	0	-1395.34482758621	0.764072075486183	67537.8309455039	5	1	15.658108144918	2012
-2.9	44.5	413	1	-1567.52	1.60604362607002	65572.2921407265	1	1	15.5895019031229	2012
-2.9	44.9	415	0	-2688.37288135593	4.76516466625666	19109.2634056183	4	1	15.5722676989125	2012
-2.9	45.1	416	0	-1702.28301886792	10.2870854656651	8501.28180053345	3	1	26.3312888071161	2012
-2.9	45.3	417	0	-135.714285714286	0.684830336571203	6069.63881248527	3	1	20.2812770770222	2012
-2.9	45.5	418	0	-69.6153846153846	0.572609385427756	18532.1315255614	2	1	17.7893833456785	2012
-2.9	45.7	419	0	-104.789915966387	0.577724172475458	35001.6279660669	3	1	17.5684459965859	2012
-2.9	45.9	420	0	-98.0229885057471	0.472189162654438	35811.6321816452	4	0	15.8913067413211	2012
-2.9	46.1	421	0	-111.456140350877	0.272483235780607	40044.598668708	4	0	10.1777209902585	2012
-2.9	46.3	422	0	-114.776470588235	0.280932803495842	41512.6582469977	4	1	9.5792269819541	2012
-2.9	46.5	423	0	-103.663461538462	0.202278252082089	37133.1562097152	3	1	16.6199534882341	2012
-2.9	46.7	424	0	-87.5050505050505	0.155197959355634	43756.5921586116	4	0	17.3636554183836	2012
-2.9	46.9	425	0	-50.4351851851852	0.086507517809945	60255.9428312556	4	0	18.3781350821475	2012
-2.9	47.1	426	0	-43.219298245614	0.108242960009528	80897.4433890351	3.5	0	17.0874852736818	2012
-2.9	47.3	427	0	-27.6901408450704	0.157642142663539	88854.5440569588	3	1	18.4286815019932	2012
-2.7	43.7	436	0	-1037.39473684211	5.06540483550022	12392.6649221326	5	0	15.7895808113795	2012
-2.7	43.9	437	0	-1314.76923076923	1.91974743512961	33273.3269497668	5	0	24.7490298856735	2012
-2.7	44.1	438	0	-1146.63636363636	1.26520669460297	47826.0256512552	3	0	15.6076062033864	2012
-2.7	44.3	439	0	-1242.48648648649	0.712559432596774	51896.1536467785	1	1	15.9724727167156	2012
-2.7	44.5	440	1	-1655.6	2.09401366233826	49522.1116040519	4	1	15.6001398633452	2012
-2.7	44.7	441	0	-2505.28260869565	2.11803755941598	41838.7424175337	3	1	14.6287085330768	2012
-2.7	44.9	442	1	-2418.38524590164	6.31239249667183	19035.8313615086	4	1	16.5183719098336	2012
-2.7	45.1	443	0	-321.597633136095	3.76654626861126	3443.3632566922	3	1	19.2967217546688	2012
-2.7	45.3	444	0	-141.24427480916	0.784880872958034	3692.13884305175	3	1	18.1103978387549	2012
-2.7	45.5	445	0	-62.969696969697	0.905688684471328	20737.239727194	3	1	13.3142251820506	2012
-2.7	45.7	446	0	-108.234567901235	0.5232403886355	39016.6852036257	3	1	10.2763457506147	2012
-2.7	45.9	447	0	-107.835051546392	0.122173208474498	51647.5949282684	3	1	11.5608425486169	2012
-2.7	46.1	448	0	-107.744047619048	0.329694049965058	52818.369160433	3	1	17.2568312911846	2012
-2.7	46.3	449	0	-90.9621212121212	0.255948362872004	54659.4492074775	4	0	17.3954283067315	2012
-2.7	46.5	450	0	-77.0695652173913	0.101191177202956	52900.5656419448	3	0	17.0721035540331	2012
-2.7	46.7	451	0	-50.1851851851852	0.272865224698627	61774.6853466531	4	0	17.3229147572879	2012
-2.7	46.9	452	0	-38.1031746031746	0.128948541298982	75974.1389675307	4	0	18.2641078591025	2012
-2.7	47.1	453	0	-30.8620689655172	0.200023629606284	92427.81798006	3	1	8.9736987632174	2012
-2.7	47.3	454	0	-23.8414634146341	0.165388460975231	101577.948107637	4	1	22.1301031486178	2012
-2.5	43.7	463	0	-1098.97297297297	3.21592203346459	15390.3685422932	4	0	8.71572955864896	2012
-2.5	43.9	464	0	-933.333333333333	1.66806775993771	27836.637741107	5	0	15.4549882720705	2012
-2.5	44.1	465	0	-972.208333333333	1.68835060795148	33328.8802834861	3	1	15.7148136271099	2012
-2.5	44.3	466	1	-1208	1.01190893231211	36927.896740683	3	1	15.9734558917727	2012
-2.5	44.5	467	1	-1488.13333333333	2.43441819747289	32360.1313373528	4	1	18.3839604475868	2012
-2.5	44.7	468	0	-2191.24705882353	4.81138227687163	29836.7779001109	4	1	16.7335541455564	2012
-2.5	44.9	469	0	-2014.39622641509	7.67269419199266	12513.0078546796	4	1	65.7045572645903	2012
-2.5	45.1	470	0	-474.362068965517	4.97941451973614	5713.54435685599	3	1	25.2028881751001	2012
-2.5	45.3	471	0	-154.904109589041	0.460732917671334	14743.011493927	3	1	11.8828330263589	2012
-2.5	45.5	472	0	-104.429906542056	0.493278626387364	19951.1557850598	3	1	8.41245410161594	2012
-2.5	45.7	473	0	-114.858064516129	0.372650019379873	39132.491642178	3	1	17.8553301153579	2012
-2.5	45.9	474	0	-106.632258064516	0.242772107619432	59973.3715369894	3	1	17.4883303738859	2012
-2.5	46.1	475	0	-71.8629032258064	0.232195695351449	68291.0663941507	3	1	20.9429652105832	2012
-2.5	46.3	476	0	-65.6592592592593	0.177847618030177	67985.6706496958	4	1	39.4447835895994	2012
